child_anonim;group;match;crawling_age;walking_age;babbling_age
476;Monolinguals2;match2;NA;NA;NA
481;Monolinguals2;match2;NA;NA;NA
484;Monolinguals2;match2;NA;NA;NA
485;Monolinguals2;match2;NA;NA;NA
488;Monolinguals2;match2;NA;NA;NA
490;Monolinguals2;match2;8;16;4
500;Monolinguals2;match2;NA;NA;NA
509;Monolinguals2;match2;8;11;8
545;Monolinguals2;match2;8;12;7
552;Monolinguals2;match2;6;NA;7
562;Monolinguals2;match2;11;15;3
579;Monolinguals2;match2;7;NA;NA
598;Monolinguals2;match2;NA;NA;NA
599;Monolinguals2;match2;9;11;7
608;Monolinguals2;match2;5;NA;6
609;Monolinguals2;match2;NA;NA;NA
615;Monolinguals2;match2;NA;NA;NA
634;Monolinguals2;match2;6;15;9
636;Monolinguals2;match2;NA;NA;NA
639;Monolinguals2;match2;7;NA;NA
653;Monolinguals2;match2;10;13;10
668;Monolinguals2;match2;8;NA;NA
682;Monolinguals2;match2;NA;NA;NA
686;Monolinguals2;match2;7;10;11
703;Monolinguals2;match2;8;NA;NA
708;Monolinguals2;match2;7;16;6
739;Monolinguals2;match2;NA;NA;NA
745;Monolinguals2;match2;NA;NA;NA
760;Monolinguals2;match2;8;NA;7
762;Monolinguals2;match2;NA;NA;NA
765;Monolinguals2;match2;6;12;5
768;Monolinguals2;match2;NA;NA;NA
790;Monolinguals2;match2;NA;NA;NA
805;Monolinguals2;match2;NA;NA;NA
807;Monolinguals2;match2;NA;NA;NA
814;Monolinguals2;match2;NA;NA;NA
838;Monolinguals2;match2;10;11;4
843;Monolinguals2;match2;NA;NA;NA
868;Monolinguals2;match2;NA;NA;NA
885;Monolinguals2;match2;8;NA;4
893;Monolinguals2;match2;NA;NA;NA
895;Monolinguals2;match2;NA;NA;NA
924;Monolinguals2;match2;NA;NA;NA
929;Monolinguals2;match2;7;11;10
946;Monolinguals2;match2;6;11;5
955;Monolinguals2;match2;NA;NA;NA
979;Monolinguals2;match2;NA;NA;NA
988;Monolinguals2;match2;NA;NA;NA
1001;Monolinguals2;match2;NA;NA;NA
1040;Monolinguals2;match2;NA;NA;NA
1060;Monolinguals2;match2;NA;NA;NA
1077;Monolinguals2;match2;NA;NA;NA
